Reference	ID	Tags	Quote	Occurrence	Question	Response	Question
04:13	tg6y	basic,interpret	πάντα ἰσχύω	1	Dans le contexte du verset 12, à quoi l'expression **toutes les situations** renvoie-t-elle ?		In the context of verse 12, to what would **all things** refer back?
04:13	gsy2	basic,observe	ἐν τῷ ἐνδυναμοῦντί με	1	Qu'est-ce qui donne à Paul **la force pour supporter toutes les situations** ?		What enables Paul to do **all things**?
04:14	l37l	basic,observe	πλὴν καλῶς ἐποιήσατε, συνκοινωνήσαντές μου τῇ θλίψει	1	Qu'ont fait les Philippiens de si appréciable pour Paul ?		What did the Philippians do for Paul that he appreciated?
04:15	xng2	basic,observe	οὐδεμία μοι ἐκκλησία ἐκοινώνησεν εἰς λόγον δόσεως καὶ λήμψεως, εἰ μὴ ὑμεῖς μόνοι	1	Quel acte les Philippiens ont-ils accompli qui était unique pour une église de l'époque ?		What had the Philippians done that was unique for a church at that time?
04:16	ze9y	basic,observe	ὅτι καὶ ἐν Θεσσαλονίκῃ, καὶ ἅπαξ καὶ δὶς, εἰς τὴν χρείαν μοι ἐπέμψατε	1	Qu'ont fait les Philippiens pour Paul alors qu'il était à Thessalonique ?		What did the Philippians do for Paul when he was in Thessalonica?
04:17	l068	basic,interpret	οὐχ ὅτι ἐπιζητῶ τὸ δόμα	1	Paul veut-il dire qu'il ne voulait pas que les Philippiens le soutiennent financièrement ?		Is Paul saying that he did not want the Philippians to support him financially?
04:17	ijs2	basic,observe	οὐχ ὅτι ἐπιζητῶ τὸ δόμα, ἀλλὰ ἐπιζητῶ τὸν καρπὸν τὸν πλεονάζοντα εἰς λόγον ὑμῶν	1	Pourquoi Paul était-il plus heureux du fait que les Philippiens aient fait un don que du don lui-même ?		Why was Paul more pleased by the fact that the Philippians gave than he was with the actual gift?
04:18	pb8u	basic,observe	ἀπέχω δὲ πάντα, καὶ περισσεύω; πεπλήρωμαι, δεξάμενος παρὰ Ἐπαφροδίτου τὰ παρ’ ὑμῶν	1	Dans quel état se trouvait Paul à la suite du don que les Philippiens lui ont fait par l'intermédiaire d'Épaphrodite ?		What was Paul’s current condition as a result of the gift the Philippians sent via **Epaphroditus**?
04:18	s51c	basic,observe	τὰ παρ’ ὑμῶν, ὀσμὴν εὐωδίας, θυσίαν δεκτήν, εὐάρεστον τῷ Θεῷ	1	Selon Paul, comment Dieu a-t-il considéré le don que les Philippiens ont envoyé à Paul ?		According to Paul, how did God view the gift the Philippians sent to Paul?
04:19	nt8x	basic,observe	ὁ δὲ Θεός μου πληρώσει πᾶσαν χρείαν ὑμῶν, κατὰ τὸ πλοῦτος αὐτοῦ ἐν δόξῃ ἐν Χριστῷ Ἰησοῦ	1	Selon Paul, comment Dieu répondra-t-il aux Philippiens suite au don qu'ils ont envoyé à Paul ?		According to Paul, how will God respond to the Philippians because they sent the gift to Paul when he was in need?
04:19	ty2j	basic,interpret	ὁ δὲ Θεός μου πληρώσει πᾶσαν χρείαν ὑμῶν	1	Ici, **Et** relie la promesse de Paul au verset précédent. Comment la promesse que Dieu va les bénir est-elle liée au don sacrificiel des Philippiens ?		Here **And** connects Paul’s promise to the previous verse. How is the promise of God’s blessing therefore connected to the sacrificial giving of the Philippians?
04:19	l069	basic,observe	κατὰ τὸ πλοῦτος αὐτοῦ ἐν δόξῃ ἐν Χριστῷ Ἰησοῦ	1	À quelle hauteur Dieu répondra-t-il aux besoins des Philippiens ?		What is the measure by which God will meet the needs of the Philippians?
04:20	ee3q	basic,observe	τῷ δὲ Θεῷ καὶ Πατρὶ ἡμῶν ἡ δόξα εἰς τοὺς αἰῶνας τῶν αἰώνων	1	En fin de compte, à qui doit revenir la **gloire** pour le service de Paul, les dons des Philippiens et la provision des besoins des Philippiens ?		Who ultimately should receive **glory** for Paul’s service, the giving of the Philippians, and the provision for the needs of the Philippians?
04:21	yuu2	basic,interpret	ἀσπάσασθε πάντα ἅγιον ἐν Χριστῷ Ἰησοῦ	1	Qui Paul demande-t-il aux Philippiens de saluer ?		Who does Paul ask the Philippians to greet?
4:21-22	z2he	basic,observe	ἀσπάζονται ὑμᾶς οἱ σὺν ἐμοὶ ἀδελφοί & ἀσπάζονται ὑμᾶς πάντες οἱ ἅγιοι, μάλιστα δὲ οἱ ἐκ τῆς Καίσαρος οἰκίας	1	Qui a également envoyé des salutations aux saints de Philippes ?		Who also sent greetings to the saints in Philippi?
04:22	d8g6	basic,interpret	ἀσπάζονται ὑμᾶς πάντες οἱ ἅγιοι, μάλιστα δὲ οἱ ἐκ τῆς Καίσαρος οἰκίας	1	Alors que Paul était jugé à Rome, comment les membres de la **maison de César** ont-ils pu devenir des **saints** ?		As Paul was on trial in Rome, how might members of **the household of Caesar** have become **saints**?
04:23	l070	basic,observe	ἡ χάρις τοῦ Κυρίου Ἰησοῦ Χριστοῦ μετὰ τοῦ πνεύματος ὑμῶν	1	Quelle était la chose la plus importante que Paul voulait que Jésus accorde aux Philippiens ?		What was the most important thing Paul wanted Jesus to provide to the Philippians?
