JUD	front	intro	xh5n	JUD_front_intro_xh5n		# Introduction à Jude<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Jude<br><br>1. Introduction (1:1-2)<br>2. Mise en garde contre les faux enseignants (1:3-4)<br>3. Comparaison des faux enseignants aux exemples de l’Ancien Testament (1:5-16)<br>4. Exhortation à mener une vie pieuse en réponse (1:17-23)<br>5. Louanges à Dieu (1:24-25)<br><br>### Qui a écrit le livre de Jude?<br><br>L’auteur s’est identifié comme étant Jude, le frère de Jacques. Jude et Jacques étaient tous deux des demi-frères de Jésus. On ignore si cette lettre était destinée à une église spécifique.<br><br>### De quoi parle le livre de Jude?<br><br>Jude a écrit cette lettre pour mettre en garde les croyants contre les faux enseignants. Jude fait souvent référence à l’Ancien Testament. Cela peut suggérer que Jude écrivait à un public chrétien juif. Cette lettre et 2 Pierre ont un contenu similaire. Elles parlent toutes deux des anges, de Sodome et Gomorrhe, et des faux enseignants.<br><br>### Comment traduire le titre de ce livre?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, “Jude”. Ou ils peuvent choisir un titre plus clair, tel que “La lettre de Jude” ou “La lettre que Jude a écrite.” (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### Qui étaient les personnes contre lesquelles Jude s’est exprimé ?<br><br>Il est possible que les personnes contre lesquelles Jude s’est exprimé étaient celles qui seraient plus tard connues sous le nom de gnostiques. Ces enseignants déformaient les enseignements de l’Écriture pour leur propre profit. Ils vivaient de façon immorale et enseignaient aux autres à faire de même.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel “vous”<br><br>Dans ce livre, le mot “je” fait référence à Jude. De même, le mot “vous” est toujours au pluriel et fait référence à l’auditoire de Jude. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] et [[rc://fr/ta/man/translate/figs-you]])<br><br>###Quels sont les problèmes majeurs du texte du livre de 2 Pierre ?<br><br>Pour le verset suivant, il existe des différences entre certains manuscrits anciens. Le texte ULT suit la lecture que la plupart des érudits considèrent comme originale et met l’autre lecture dans une note de bas de page. Si une traduction de la Bible existe dans la langue de communication la plus répandue dans la région, les traducteurs peuvent envisager d’utiliser la lecture trouvée dans cette version. Sinon, il est conseillé aux traducteurs de suivre la lecture de l’ULT.<br>* “que Jésus, ayant sauvé un peuple du pays d’Égypte” [(v. 5)](../01/05.md). Certains manuscrits anciens ont : “que le Seigneur, ayant sauvé un peuple du pays d’Égypte” <br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]]).
JUD	1	19	ba6u	JUD_1_19_ba6u	ψυχικοί	Jude utilise au sens figuré une partie de l’être humain, l’âme, par opposition à une autre partie, l’esprit, pour signifier “ non spirituel. “ Le mot **soulish** décrit quelqu’un qui vit selon ses instincts naturels plutôt que selon la parole et l’Esprit de Dieu. Il est utilisé pour désigner les personnes qui ne sont pas de vrais croyants. Traduction alternative : “ non spirituel “ ou “ mondain “ (voir : [[rc://fr/ta/man/translate/figs-metonymy]]).
JUD	1	19	qn4p	JUD_1_19_qn4p	Πνεῦμα μὴ ἔχοντες	On parle du Saint-Esprit **au sens figuré, comme s’il s’agissait de quelque chose que les gens peuvent posséder. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer de manière non figurative. Traduction alternative : “l’Esprit n’est pas en eux” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	20	xm93	JUD_1_20_xm93	ἀγαπητοί	Ici, **les bien-aimés** désigne ceux à qui Jude écrit, ce qui peut être étendu à tous les croyants. Si vos lecteurs se méprenaient sur ce point, vous pourriez l’exprimer explicitement. Voyez comment vous avez traduit cela au verset [3](../01/03.md). Traduction alternative : “bien-aimés coreligionnaires” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	20	cc68	JUD_1_20_cc68	ἐποικοδομοῦντες ἑαυτοὺς τῇ ἁγιωτάτῃ ὑμῶν πίστει	Ici, Jude parle au sens figuré du fait de devenir de plus en plus capable de faire confiance à Dieu, comme s’il s’agissait du processus de construction d’un bâtiment. Si vos lecteurs comprennent mal cette métaphore, vous pouvez l’exprimer de manière non figurative ou utiliser une simile. Traduction alternative : “faire en sorte que vous augmentiez votre confiance en Dieu” ou “faire en sorte que vous augmentiez votre confiance comme on construit un édifice” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	20	c2o9	JUD_1_20_c2o9	ἐποικοδομοῦντες ἑαυτοὺς	Cette clause fait référence à un moyen par lequel les lecteurs de Jude peuvent obéir au commandement de se garder dans l’amour de Dieu, qu’il énonce au verset suivant. Si cela peut être utile dans votre langue, vous pouvez l’indiquer explicitement. Traduction alternative : “par le moyen de vous édifier”
JUD	1	20	uyfx	JUD_1_20_uyfx	τῇ ἁγιωτάτῃ ὑμῶν πίστει	Si vos lecteurs comprenaient mal le nom abstrait **foi**, vous pourriez exprimer l’idée qui le sous-tend avec un verbe, tel que “faire confiance” ou “croire”. Traduction alternative : “en ce que vous croyez qui est le plus saint” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	20	m3rg	JUD_1_20_m3rg	ἐν Πνεύματι Ἁγίῳ προσευχόμενοι	Cette clause fait référence à un deuxième moyen par lequel les lecteurs de Jude peuvent obéir au commandement de se garder dans l’amour de Dieu, qu’il énonce au verset suivant. Si vos lecteurs devaient mal comprendre cela, vous pourriez l’exprimer explicitement. Traduction alternative : “au moyen de la prière dans l’Esprit Saint”
JUD	1	21	j9su	JUD_1_21_j9su	ἑαυτοὺς ἐν ἀγάπῃ Θεοῦ τηρήσατε	Si votre langue place le commandement au début de la phrase et avant les autres clauses modificatrices, vous pourriez alors créer un pont entre les versets en déplaçant cette clause vers le verset précédent, en la plaçant juste avant “vous édifier dans votre très sainte foi”. Vous devrez présenter les versets combinés comme 20-21. (Voir : [[rc://fr/ta/man/translate/translate-versebridge]])
JUD	1	21	zd2c	JUD_1_21_zd2c	ἑαυτοὺς ἐν ἀγάπῃ Θεοῦ τηρήσατε	Ici, Jude parle au sens figuré du fait de rester capable de recevoir l’**amour de Dieu** comme si on se gardait dans un certain endroit. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer explicitement. Traduction alternative : “restez capables de recevoir l’amour de Dieu” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	21	s6w6	JUD_1_21_s6w6	προσδεχόμενοι τὸ ἔλεος τοῦ Κυρίου ἡμῶν	Cette clause se produit en même temps que la clause qui la précède. Si vos lecteurs risquent de mal comprendre ce lien, vous pouvez l’exprimer explicitement. Autre traduction possible : “ en attendant la miséricorde de notre Seigneur “ ou “ en attendant la miséricorde de notre Seigneur “.
JUD	1	21	p3bw	JUD_1_21_p3bw	τὸ ἔλεος τοῦ Κυρίου ἡμῶν, Ἰησοῦ Χριστοῦ	Ici, **la miséricorde** pourrait faire référence à : (1) la miséricorde dont Jésus fera preuve envers les croyants lors de son retour sur terre. Traduction alternative : “notre Seigneur Jésus-Christ qui reviendra et agira avec miséricorde” (2) les actes continus de miséricorde de Jésus envers les croyants en général. Autre traduction : “notre Seigneur Jésus-Christ agira avec miséricorde” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	21	mzqu	JUD_1_21_mzqu	τοῦ Κυρίου ἡμῶν	Ici, **notre Seigneur** signifie “la personne qui est seigneur sur nous” ou “la personne qui règne sur nous.” Voyez comment vous avez traduit cette expression au verset [17](../01/17.md). Traduction alternative : “ de la personne qui nous gouverne “, (Voir : [[rc://fr/ta/man/translate/figs-possession]]).
JUD	1	21	okfy	JUD_1_21_okfy	ἡμῶν	Ici, **notre** se réfère à tous les croyants. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
JUD	1	21	qb29	JUD_1_21_qb29	τὸ ἔλεος τοῦ Κυρίου ἡμῶν, Ἰησοῦ Χριστοῦ, εἰς ζωὴν αἰώνιον	Jude utilise **à** pour introduire le résultat de **la miséricorde**. Si cela peut être utile à vos lecteurs, vous pourriez l’exprimer explicitement. Traduction alternative : “la miséricorde de notre Seigneur Jésus-Christ, qui apporte la vie éternelle” (Voir : [[rc://fr/ta/man/translate/grammar-connect-logic-result]])
JUD	1	22	ynz1	JUD_1_22_ynz1	ἐλεᾶτε	Si vos lecteurs comprennent mal le nom abstrait **mercy**, vous pouvez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “agir avec miséricorde envers” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	22	wbr5	JUD_1_22_wbr5	οὓς…διακρινομένους	La phrase **> {quelques-uns} qui doutent <** fait référence aux personnes qui sont devenues confuses à cause de l’enseignement et des activités des faux enseignants. Traduction alternative : “certains qui doutent de ce qu’il faut croire”.
JUD	1	23	gx9t	JUD_1_23_gx9t	ἐκ πυρὸς ἁρπάζοντες	Cette clause indique le moyen par lequel Jude veut que son public sauve un certain groupe de personnes. Si vos lecteurs comprennent mal ce lien, vous pouvez l’exprimer explicitement. Traduction alternative : “au moyen d’arracher au feu”
JUD	1	23	wkj9	JUD_1_23_wkj9	ἐκ πυρὸς ἁρπάζοντες	Ici, Jude parle au sens figuré de sauver d’urgence certaines personnes de l’enfer, comme s’il s’agissait de tirer des gens d’un **incendie** avant qu’ils ne commencent à brûler. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer de manière non figurative ou utiliser une simile. Traduction alternative : “ faire tout ce qui doit être fait pour les empêcher d’aller en enfer “ ou “ faire tout ce qui doit être fait pour les sauver, comme si on les tirait du feu “ (Voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	23	ign7	JUD_1_23_ign7	ἐλεᾶτε	Si vos lecteurs comprennent mal le nom abstrait **mercy**, vous pouvez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “agir avec miséricorde envers” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	23	uavk	JUD_1_23_uavk	ἐν φόβῳ	Cette phrase indique la manière dont Jude voulait que ses lecteurs aient pitié d’un certain groupe de personnes. Autre traduction : “en étant prudent”
JUD	1	23	u4px	JUD_1_23_u4px	μισοῦντες καὶ τὸν ἀπὸ τῆς σαρκὸς ἐσπιλωμένον χιτῶνα	Jude exagère pour avertir ses lecteurs qu’ils peuvent devenir comme ces pécheurs. Autre traduction : “les traiter comme si on pouvait devenir coupable de péché rien qu’en touchant leurs vêtements” (Voir : [[rc://fr/ta/man/translate/figs-hyperbole]])
JUD	1	23	sexc	JUD_1_23_sexc	τῆς σαρκὸς	Ici, **chair** est utilisé au sens figuré pour désigner la nature pécheresse d’une personne. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer littéralement. Traduction alternative : “leur nature pécheresse” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
JUD	1	24	r3jx	JUD_1_24_r3jx	τῷ δὲ δυναμένῳ φυλάξαι	Ici, **le seul** se réfère à Dieu. Si vos lecteurs le comprennent mal, vous pourriez l’exprimer explicitement. Traduction alternative : “à Dieu, qui est capable de garder” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	24	jvpm	JUD_1_24_jvpm	φυλάξαι ὑμᾶς ἀπταίστους	Ici, Jude utilise **trébucher** pour parler au sens figuré du retour au péché habituel comme si l’on trébuchait sur quelque chose. Si vos lecteurs comprenaient mal cette métaphore, vous pourriez l’exprimer de manière non figurative. Traduction alternative : “pour vous empêcher de revenir à des habitudes de péché” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]]).
JUD	1	24	w1dc	JUD_1_24_w1dc	τῆς δόξης αὐτοῦ	Ici, **gloire** fait référence à la lumière vive qui entoure la présence de Dieu. Si vos lecteurs comprenaient mal ce nom abstrait, vous pourriez le traduire par un adjectif. Traduction alternative : “sa glorieuse présence” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	24	gq9e	JUD_1_24_gq9e	ἐν ἀγαλλιάσει	Cette phrase décrit la manière dont les croyants se présenteront devant Dieu. Autre traduction, comme dans l’UST : “avec une grande joie”.
JUD	1	25	a3ua	JUD_1_25_a3ua	μόνῳ Θεῷ Σωτῆρι ἡμῶν	Ici, **> notre Sauveur <** se réfère à Dieu. Il ne se réfère pas à Jésus. Cette phrase souligne que Dieu le Père, ainsi que le Fils, est le Sauveur. Si vos lecteurs comprenaient mal cette phrase, vous pourriez l’exprimer explicitement. Traduction alternative : “au seul Dieu, qui est notre Sauveur”
JUD	1	25	m1g8	JUD_1_25_m1g8	Σωτῆρι ἡμῶν	Si vos lecteurs comprenaient mal le nom abstrait **Savior**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “la personne qui sauve” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	25	db0v	JUD_1_25_db0v	τοῦ Κυρίου ἡμῶν,	Si vos lecteurs comprenaient mal le nom abstrait **Seigneur**, vous pourriez exprimer l’idée qui le sous-tend avec une expression équivalente. Traduction alternative : “la personne qui gouverne” (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])
JUD	1	25	kql5	JUD_1_25_kql5	μόνῳ Θεῷ…δόξα, μεγαλωσύνη, κράτος, καὶ ἐξουσία	Si vos lecteurs comprenaient mal les noms abstraits **gloire, majesté, pouvoir** et **autorité**, vous pourriez les traduire par des locutions adjectives. Traduction alternative : “ que le seul Dieu... soit reconnu comme glorieux, majestueux, puissant et faisant autorité “ (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]]).
JUD	1	25	dya1	JUD_1_25_dya1	πρὸ παντὸς τοῦ αἰῶνος	Il s’agit d’une idiome qui fait référence à l’éternité passée. Si vos lecteurs comprennent mal cette idiome, vous pouvez utiliser une idiome équivalente ou utiliser un langage simple. Traduction alternative : “dans l’éternité passée” ou “avant tout” (Voir : [[rc://fr/ta/man/translate/figs-idiom]])
JUD	1	25	kof4	JUD_1_25_kof4	εἰς πάντας τοὺς αἰῶνας	Il s’agit d’une expression idiomatique qui signifie “pour toujours”. Si vos lecteurs risquent de mal comprendre cette idiome, vous pouvez utiliser une idiome équivalente ou utiliser un langage simple. Traduction alternative : “à l’éternité” ou “pour toujours” (Voir : [[rc://fr/ta/man/translate/figs-idiom]])
